Lab Name,Sectors,Location,Institution
The Centre for Applied Genomics (TCAG),"Agriculture, animal science and food, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","686 Bay St., Toronto, ON, M5G 0A4, Canada",The Hospital for Sick Children
The Centre for Microbial Chemical Biology (CMCB),"Agriculture, animal science and food, Chemical industries, Education, Environmental technologies and related services, Fisheries and aquaculture, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","1280 Main Street West, MDCL-2330, Hamilton, ON, L8S 4K1, Canada",McMaster University
The Centre for Phenogenomics (TCP),"Life sciences, pharmaceuticals and medical equipment","25 Orde Street, Toronto, ON, M5T 3H7, Canada",Sinai Health System
The Centre for the Analysis of Genome Evolution and Function (CAGEF),"Agriculture, animal science and food, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries","25 Willcocks Street, Toronto, ON, M5S 3B2, Canada",University of Toronto
"The Diet, Digestive tract and Disease (3D) CFI-ORF Clinical Research Facilities","Agriculture, animal science and food, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Policy and governance","St. Michael's Hospital, 30 Bond Street, Toronto, ON, M5B1W8, Canada",University of Toronto
"The Diet, Digestive tract, & Disease (3D) CFI-ORF Basic Science Research Facility","Agriculture, animal science and food, Fisheries and aquaculture, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Medical Science Building, Room 73631 King’s College Circle, Toronto, ON, M5S1A8, Canada",University of Toronto
The Electronic Living Laboratory for Interdisciplinary Cancer Survivorship Research (ELLICSR),"Agriculture, animal science and food, Education, Healthcare and social services, Information and communication technologies and media","200 Elizabeth Street, Toronto, ON, M5G 2C4, Canada",University Health Network
The International Partnership for Queer Youth Resilience (INQYR),"Education, Healthcare and social services, Information and communication technologies and media","246 Bloor St. W., Toronto, ON, M5S 1V4, Canada",University of Toronto
The Kite Research Institute,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","550 University Avenue, Toronto, ON, M5G 2A2, Canada",University Health Network
The LIE Lab,"Defence and security industries, Policy and governance, Professional and technical services (including legal services, architecture, engineering)","2 Simcoe Street South, Oshawa, ON, L1H 8C1, Canada",Ontario Tech University (University of Ontario Institute of Technology)
The Princess Margaret Living Biobank (PMLB),"Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
The Remote Sensing and Spatial Ecosystem Modeling Laboratory,"Aerospace and satellites, Agriculture, animal science and food, Forestry and forest-based industries","Davis Building, 3359 Mississauga Road, Toronto, ON, L5L 1C6, Canada",University of Toronto
The Royal’s Brain Imaging Centre (BIC),"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","1145 Carling Avenue, Ottawa, ON, K1Z 7K4, Canada",University of Ottawa
The SickKids-UHN Flow Cytometry Facility at PGCRL,"Agriculture, animal science and food, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Ocean industries","686 Bay Street, Toronto, ON, M5G 0A4, Canada",The Hospital for Sick Children
The SickKids-UHN Flow Cytometry Facility at TMDT,"Agriculture, animal science and food, Fisheries and aquaculture, Forestry and forest-based industries, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Ocean industries","Toronto Medical Discovery Tower (TMDT) Building,East Tower, MaRS Centre, 101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
The Visualization for Information Analysis lab (vialab),"Arts and cultural industries, Education, Information and communication technologies and media, Management and business related services, Policy and governance","2000 Simcoe Street N, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
The Wilfred and Joyce Posluns Centre for Image Guided Innovation and Therapeutic Intervention,"Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","555 University Avenue, Toronto, ON, M5G 1X9, Canada",The Hospital for Sick Children
The WindEEE Research Institute,"Aerospace and satellites, Automotive, Clean technology, Construction (including building, civil engineering, specialty trades), Education, Energy, Environmental technologies and related services, Forestry and forest-based industries, Manufacturing and processing, Policy and governance, Professional and technical services (including legal services, architecture, engineering), Utilities","2535 Advanced Avenue, London, ON, N6M 0E2, Canada",Western University (The University of Western Ontario)
Thunder Bay Regional Health Research Institute (TBRHRI),"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Policy and governance","980 Oliver Road, Thunder Bay, ON, P7B 6V4, Canada",Thunder Bay Regional Health Sciences Centre
Toronto Nanofabrication Centre (TNFC),"Aerospace and satellites, Automotive, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Healthcare and social services, Information and communication technologies and media, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","10 King’s College Road, Toronto, ON, M5S 3G4, Canada",University of Toronto
Trace Inorganic Geochemistry Research Laboratory,"Energy, Environmental technologies and related services, Mining, minerals and metals","601 Booth Street, Ottawa, ON, K1A 0E8, Canada",Natural Resources Canada
Transmission Electron Microscopy (TEM) Core Facility,"Education, Life sciences, pharmaceuticals and medical equipment","451 Smyth Road, Ottawa, ON, K1H 8M5, Canada",University of Ottawa
Trent Water Quality Centre,"Agriculture, animal science and food, Chemical industries, Clean technology, Defence and security industries, Education, Energy, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing, Mining, minerals and metals, Utilities","2089 East Bank Drive, Peterborough, ON, K9L 1Z8, Canada",Trent University
Trustworthy Artificial Intelligence (AI) Lab,"Healthcare and social services, Information and communication technologies and media, Management and business related services","40 Conlin Road, Oshawa, ON, L1G 0C5, Canada",Ontario Tech University (University of Ontario Institute of Technology)
Turbulence and Energy Laboratory,"Automotive, Clean technology, Energy","2285 Wyandotte St W., Windsor, ON, N9B 1K3, Canada",University of Windsor
Turbulence Simulation and Modelling Laboratory,"Aerospace and satellites, Automotive, Energy, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment","130 Stuart Street, Kingston, ON, K7L 3N6, Canada",Queen's University
Two Photon Fluorescence Microscopy (2PFM) Facility,"Life sciences, pharmaceuticals and medical equipment","2075 Bayview Avenue, Toronto, ON, M4N 3M5, Canada",Sunnybrook Health Sciences Centre
UHN Biospecimen Services,Healthcare and social services,"610 University Ave., Toronto, ON, M5G 2C4, Canada",University Health Network
UHN Nuclear Magnetic Resonance (NMR) Core Facility,"Education, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","101 College Street, Toronto, ON, M5G 1L7, Canada",University Health Network
Universal Testing Facility for Advanced Characterization of Automotive Materials,Manufacturing and processing,"401 Sunset Ave, Windsor, ON, N9B 3P4, Canada",University of Windsor
University of Ottawa Press,"Education, Healthcare and social services, Information and communication technologies and media, Policy and governance","542 King Edward Ave., Ottawa, ON, K1N 6N5, Canada",University of Ottawa
"Validation, Prototyping and Manufacturing Institute (VPMI)","Agriculture, animal science and food, Chemical industries, Environmental technologies and related services, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals","1812 Sir Isaac Brock Way, St. Catharines, ON, L2S 3A1, Canada",Brock University
Visualization and Simulation (VSIM) Centre,"Aerospace and satellites, Defence and security industries, Education, Transportation","VSIM Building, 1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
Walker Advanced Manufacturing Innovation Centre (WAMIC),"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Environmental technologies and related services, Manufacturing and processing","100 Niagara College Boulevard, Welland, ON, L3C 7L3, Canada",Niagara College
Warriner’s Lab (food safety and food microbiology),"Agriculture, animal science and food, Chemical industries, Clean technology, Education, Energy, Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment, Manufacturing and processing","Department of Food Science, 50 Stone Road East, Guelph, ON, N1G 2W1, Canada",University of Guelph
Water and Ice Research Lab (WIRL),"Aerospace and satellites, Agriculture, animal science and food, Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Life sciences, pharmaceuticals and medical equipment, Mining, minerals and metals, Ocean industries, Transportation","Loeb Building,1125 Colonel By Drive, Ottawa, ON, K1S 5B6, Canada",Carleton University
WATER Group – Watershed And Terrestrial Environment Research Group,"Environmental technologies and related services, Fisheries and aquaculture, Forestry and forest-based industries, Mining, minerals and metals","1265 Military Trail, Scarborough, ON, M1C 1A4, Canada",University of Toronto
Water Management – CanmetMINING,"Clean technology, Environmental technologies and related services, Mining, minerals and metals","555 Booth Street, Ottawa, ON, K1A 0G1, Canada",Natural Resources Canada
Water System (WSYS) Pilot Flow Loop,"Chemical industries, Environmental technologies and related services, Manufacturing and processing","Wallberg Building, 200 College Street, Toronto, ON, M5S 3E5, Canada",University of Toronto
Waterloo Forming and Crash Laboratory,"Aerospace and satellites, Automotive, Clean technology, Defence and security industries, Manufacturing and processing, Mining, minerals and metals, Transportation","200 University Ave W, Waterloo, ON, N2L3G1, Canada",University of Waterloo
Waterloo RoboHub,"Aerospace and satellites, Automotive, Construction (including building, civil engineering, specialty trades), Defence and security industries, Education, Healthcare and social services, Manufacturing and processing","200 University Ave W, Waterloo, ON, N2L 3G1, Canada",University of Waterloo
"Wearable, Interactive and Mobile Technology Access Centre in Health (WIMTACH)","Environmental technologies and related services, Healthcare and social services, Life sciences, pharmaceuticals and medical equipment","941 Progress Avenue, Toronto, ON, M1G 3T8, Canada",Centennial College
Western Nanofabrication Facility,"Aerospace and satellites, Automotive, Defence and security industries, Energy, Manufacturing and processing, Mining, minerals and metals","1151 Richmond Street, London, ON, N6A5B7, Canada",Western University (The University of Western Ontario)
